
default_dir_path: ../../ply_data/less_grid_3/

corresp_img_file_name: 

corresp_ply_file_name: 
s10-t550-r001-d30.dat
s10.dat

img_file_path: 

ply_file_path: 
transform_rotate_simulation::
Point: corresp_plypoint
-1.83012701892219 -6.83012701892219               -10
-1.83012701892219 -6.83012701892219                 0
-1.83012701892219 -6.83012701892219                10
-6.83012701892219  1.83012701892219               -10
-6.83012701892219  1.83012701892219                 0
-6.83012701892219  1.83012701892219                10
-11.8301270189222  10.4903810567666               -10
-11.8301270189222  10.4903810567666                 0
-11.8301270189222  10.4903810567666                10
 6.83012701892219 -1.83012701892219               -10
 6.83012701892219 -1.83012701892219                 0
 6.83012701892219 -1.83012701892219                10
1.83012701892219 6.83012701892219              -10
1.83012701892219 6.83012701892219               10
-3.16987298107781  15.4903810567666               -10
-3.16987298107781  15.4903810567666                 0
-3.16987298107781  15.4903810567666                10
15.4903810567666 3.16987298107781              -10
15.4903810567666 3.16987298107781                0
15.4903810567666 3.16987298107781               10
10.4903810567666 11.8301270189222              -10
10.4903810567666 11.8301270189222                0
10.4903810567666 11.8301270189222               10
5.49038105676658 20.4903810567666              -10
5.49038105676658 20.4903810567666                0
5.49038105676658 20.4903810567666               10

Point: corresp_imgpoint
-10 -10 -10
-10 -10   0
-10 -10  10
-10   0 -10
-10   0   0
-10   0  10
-10  10 -10
-10  10   0
-10  10  10
  0 -10 -10
  0 -10   0
  0 -10  10
  0   0 -10
 0  0 10
  0  10 -10
 0 10  0
 0 10 10
 10 -10 -10
 10 -10   0
 10 -10  10
 10   0 -10
10  0  0
10  0 10
 10  10 -10
10 10  0
10 10 10

-------pickup point :
pickup_file exists: 1
4 25 1 15 14 1 16 11 21 23 11 17 24 8 6 11 20 18 14 7 3 15 14 3 3 0 -10   0   0 
10 10 10 
-10 -10   0 
 0 10  0 
  0  10 -10 
-10 -10   0 
 0 10 10 
  0 -10  10 
10  0  0 
 10  10 -10 
  0 -10  10 
 10 -10 -10 
10 10  0 
-10  10  10 
-10  10 -10 
  0 -10  10 
 10   0 -10 
 10 -10   0 
  0  10 -10 
-10  10   0 
-10   0 -10 
 0 10  0 
  0  10 -10 
-10   0 -10 
-10   0 -10 
-10 -10 -10 
Point: pickup_img
-10   0   0
10 10 10
-10 -10   0
 0 10  0
  0  10 -10
-10 -10   0
 0 10 10
  0 -10  10
10  0  0
 10  10 -10
  0 -10  10
 10 -10 -10
10 10  0
-10  10  10
-10  10 -10
  0 -10  10
 10   0 -10
 10 -10   0
  0  10 -10
-10  10   0
-10   0 -10
 0 10  0
  0  10 -10
-10   0 -10
-10   0 -10
-10 -10 -10

Point: pickup_ply
-6.83012701892219  1.83012701892219                 0
5.49038105676658 20.4903810567666               10
-1.83012701892219 -6.83012701892219                 0
-3.16987298107781  15.4903810567666                 0
-3.16987298107781  15.4903810567666               -10
-1.83012701892219 -6.83012701892219                 0
-3.16987298107781  15.4903810567666                10
 6.83012701892219 -1.83012701892219                10
10.4903810567666 11.8301270189222                0
5.49038105676658 20.4903810567666              -10
 6.83012701892219 -1.83012701892219                10
15.4903810567666 3.16987298107781              -10
5.49038105676658 20.4903810567666                0
-11.8301270189222  10.4903810567666                10
-11.8301270189222  10.4903810567666               -10
 6.83012701892219 -1.83012701892219                10
