
default_dir_path: ../../ply_data/cube-t230-r001d30/

corresp_img_file_name: 

corresp_ply_file_name: 
lidar.dat
img.dat

img_file_path: 

ply_file_path: 
transform_rotate_simulation::
Point: corresp_plypoint
-1.59807621135332 -3.23205080756888               -10
-1.59807621135332 -3.23205080756888                -5
-1.59807621135332 -3.23205080756888                 0
-1.59807621135332 -3.23205080756888                 5
-1.59807621135332 -3.23205080756888                10
-4.09807621135332  1.09807621135332               -10
-4.09807621135332  1.09807621135332                -5
-4.09807621135332  1.09807621135332                 0
-4.09807621135332  1.09807621135332                 5
-4.09807621135332  1.09807621135332                10
-6.59807621135332  5.42820323027551               -10
-6.59807621135332  5.42820323027551                -5
-6.59807621135332  5.42820323027551                 0
-6.59807621135332  5.42820323027551                 5
-6.59807621135332  5.42820323027551                10
-9.09807621135332   9.7583302491977               -10
-9.09807621135332   9.7583302491977                -5
-9.09807621135332   9.7583302491977                 0
-9.09807621135332   9.7583302491977                 5
-9.09807621135332   9.7583302491977                10
-11.5980762113533  14.0884572681199               -10
-11.5980762113533  14.0884572681199                -5
-11.5980762113533  14.0884572681199                 0
-11.5980762113533  14.0884572681199                 5
-11.5980762113533  14.0884572681199                10
  2.73205080756888 -0.732050807568878                -10
  2.73205080756888 -0.732050807568878                 -5
  2.73205080756888 -0.732050807568878                  0
  2.73205080756888 -0.732050807568878                  5
  2.73205080756888 -0.732050807568878                 10
0.232050807568878  3.59807621135332               -10
0.232050807568878  3.59807621135332                -5
0.232050807568878  3.59807621135332                 0
0.232050807568878  3.59807621135332                 5
0.232050807568878  3.59807621135332                10
-2.26794919243112  7.92820323027551               -10
-2.26794919243112  7.92820323027551                -5
-2.26794919243112  7.92820323027551                 0
-2.26794919243112  7.92820323027551                 5
-2.26794919243112  7.92820323027551                10
-4.76794919243112  12.2583302491977               -10
-4.76794919243112  12.2583302491977                -5
-4.76794919243112  12.2583302491977                 0
-4.76794919243112  12.2583302491977                 5
-4.76794919243112  12.2583302491977                10
-7.26794919243112  16.5884572681199               -10
-7.26794919243112  16.5884572681199                -5
-7.26794919243112  16.5884572681199                 0
-7.26794919243112  16.5884572681199                 5
-7.26794919243112  16.5884572681199                10
7.06217782649107 1.76794919243112              -10
7.06217782649107 1.76794919243112               -5
7.06217782649107 1.76794919243112                0
7.06217782649107 1.76794919243112                5
7.06217782649107 1.76794919243112               10
4.56217782649107 6.09807621135332              -10
4.56217782649107 6.09807621135332               -5
4.56217782649107 6.09807621135332                0
4.56217782649107 6.09807621135332                5
4.56217782649107 6.09807621135332               10
