# 併合されたデータ
# point
# データ数
50
# データ (ここから)
# 平面格子データ
# point
# データ数
# データ (ここから)
10 -18.6603 10
12.5 -14.3301 10
15 -10 10
17.5 -5.66987 10
20 -1.33975 10
10 -18.6603 5
12.5 -14.3301 5
15 -10 5
17.5 -5.66987 5
20 -1.33975 5
10 -18.6603 0
12.5 -14.3301 0
15 -10 0
17.5 -5.66987 0
20 -1.33975 0
10 -18.6603 -5
12.5 -14.3301 -5
15 -10 -5
17.5 -5.66987 -5
20 -1.33975 -5
10 -18.6603 -10
12.5 -14.3301 -10
15 -10 -10
17.5 -5.66987 -10
20 -1.33975 -10
# データ (ここまで)
# 平面格子データ
# point
# データ数
# データ (ここから)
20 1.33975 10
17.5 5.66987 10
15 10 10
12.5 14.3301 10
10 18.6603 10
20 1.33975 5
17.5 5.66987 5
15 10 5
12.5 14.3301 5
10 18.6603 5
20 1.33975 0
17.5 5.66987 0
15 10 0
12.5 14.3301 0
10 18.6603 0
20 1.33975 -5
17.5 5.66987 -5
15 10 -5
12.5 14.3301 -5
10 18.6603 -5
20 1.33975 -10
17.5 5.66987 -10
15 10 -10
12.5 14.3301 -10
10 18.6603 -10
# データ (ここまで)
# データ (ここまで)
