
default_dir_path: ../../ply_data/trans_rotate/

corresp_img_file_name: 

corresp_ply_file_name: 
s10-t220-r001-d30.dat
s10.dat

img_file_path: 

ply_file_path: 
transform_rotate_simulation::
Point: corresp_plypoint
-2.92820323027551 -10.9282032302755               -10
-2.92820323027551 -10.9282032302755                -8
-2.92820323027551 -10.9282032302755                -6
-2.92820323027551 -10.9282032302755                -4
-2.92820323027551 -10.9282032302755                -2
-2.92820323027551 -10.9282032302755                 0
-2.92820323027551 -10.9282032302755                 2
-2.92820323027551 -10.9282032302755                 4
-2.92820323027551 -10.9282032302755                 6
-2.92820323027551 -10.9282032302755                 8
-2.92820323027551 -10.9282032302755                10
-3.92820323027551 -9.19615242270663               -10
-3.92820323027551 -9.19615242270663                -8
-3.92820323027551 -9.19615242270663                -6
-3.92820323027551 -9.19615242270663                -4
-3.92820323027551 -9.19615242270663                -2
-3.92820323027551 -9.19615242270663                 0
-3.92820323027551 -9.19615242270663                 2
-3.92820323027551 -9.19615242270663                 4
-3.92820323027551 -9.19615242270663                 6
-3.92820323027551 -9.19615242270663                 8
-3.92820323027551 -9.19615242270663                10
-4.92820323027551 -7.46410161513775               -10
-4.92820323027551 -7.46410161513775                -8
-4.92820323027551 -7.46410161513775                -6
-4.92820323027551 -7.46410161513775                -4
-4.92820323027551 -7.46410161513775                -2
-4.92820323027551 -7.46410161513775                 0
-4.92820323027551 -7.46410161513775                 2
-4.92820323027551 -7.46410161513775                 4
-4.92820323027551 -7.46410161513775                 6
-4.92820323027551 -7.46410161513775                 8
-4.92820323027551 -7.46410161513775                10
-5.92820323027551 -5.73205080756888               -10
-5.92820323027551 -5.73205080756888                -8
-5.92820323027551 -5.73205080756888                -6
-5.92820323027551 -5.73205080756888                -4
-5.92820323027551 -5.73205080756888                -2
-5.92820323027551 -5.73205080756888                 0
-5.92820323027551 -5.73205080756888                 2
-5.92820323027551 -5.73205080756888                 4
-5.92820323027551 -5.73205080756888                 6
-5.92820323027551 -5.73205080756888                 8
-5.92820323027551 -5.73205080756888                10
-6.92820323027551                -4               -10
-6.92820323027551                -4                -8
