
default_dir_path: ../../ply_data/trans_rotate/

corresp_img_file_name: 

corresp_ply_file_name: 
s10-t505-r001-d30.dat
s10.dat

img_file_path: 

ply_file_path: 
transform_rotate_simulation::
Point: corresp_plypoint
0.669872981077805 -11.1602540378444                -5
0.669872981077805 -11.1602540378444                -3
0.669872981077805 -11.1602540378444                -1
0.669872981077805 -11.1602540378444                 1
0.669872981077805 -11.1602540378444                 3
0.669872981077805 -11.1602540378444                 5
0.669872981077805 -11.1602540378444                 7
0.669872981077805 -11.1602540378444                 9
0.669872981077805 -11.1602540378444                11
0.669872981077805 -11.1602540378444                13
0.669872981077805 -11.1602540378444                15
-0.330127018922194  -9.42820323027551                 -5
-0.330127018922194  -9.42820323027551                 -3
-0.330127018922194  -9.42820323027551                 -1
-0.330127018922194  -9.42820323027551                  1
-0.330127018922194  -9.42820323027551                  3
-0.330127018922194  -9.42820323027551                  5
-0.330127018922194  -9.42820323027551                  7
-0.330127018922194  -9.42820323027551                  9
-0.330127018922194  -9.42820323027551                 11
-0.330127018922194  -9.42820323027551                 13
-0.330127018922194  -9.42820323027551                 15
-1.33012701892219 -7.69615242270663                -5
-1.33012701892219 -7.69615242270663                -3
-1.33012701892219 -7.69615242270663                -1
-1.33012701892219 -7.69615242270663                 1
-1.33012701892219 -7.69615242270663                 3
-1.33012701892219 -7.69615242270663                 5
-1.33012701892219 -7.69615242270663                 7
-1.33012701892219 -7.69615242270663                 9
-1.33012701892219 -7.69615242270663                11
-1.33012701892219 -7.69615242270663                13
-1.33012701892219 -7.69615242270663                15
-2.33012701892219 -5.96410161513775                -5
-2.33012701892219 -5.96410161513775                -3
-2.33012701892219 -5.96410161513775                -1
-2.33012701892219 -5.96410161513775                 1
-2.33012701892219 -5.96410161513775                 3
-2.33012701892219 -5.96410161513775                 5
-2.33012701892219 -5.96410161513775                 7
-2.33012701892219 -5.96410161513775                 9
-2.33012701892219 -5.96410161513775                11
-2.33012701892219 -5.96410161513775                13
-2.33012701892219 -5.96410161513775                15
-3.33012701892219 -4.23205080756888                -5
-3.33012701892219 -4.23205080756888                -3
-3.33012701892219 -4.23205080756888                -1
-3.33012701892219 -4.23205080756888                 1
-3.33012701892219 -4.23205080756888                 3
-3.33012701892219 -4.23205080756888                 5
-3.33012701892219 -4.23205080756888                 7
-3.33012701892219 -4.23205080756888                 9
-3.33012701892219 -4.23205080756888                11
-3.33012701892219 -4.23205080756888                13
-3.33012701892219 -4.23205080756888                15
-4.33012701892219              -2.5                -5
-4.33012701892219              -2.5                -3
-4.33012701892219              -2.5                -1
-4.33012701892219              -2.5                 1
-4.33012701892219              -2.5                 3
-4.33012701892219              -2.5                 5
-4.33012701892219              -2.5                 7
-4.33012701892219              -2.5                 9
-4.33012701892219              -2.5                11
-4.33012701892219              -2.5                13
-4.33012701892219              -2.5                15
 -5.33012701892219 -0.767949192431122                 -5
 -5.33012701892219 -0.767949192431122                 -3
 -5.33012701892219 -0.767949192431122                 -1
 -5.33012701892219 -0.767949192431122                  1
 -5.33012701892219 -0.767949192431122                  3
 -5.33012701892219 -0.767949192431122                  5
 -5.33012701892219 -0.767949192431122                  7
 -5.33012701892219 -0.767949192431122                  9
 -5.33012701892219 -0.767949192431122                 11
 -5.33012701892219 -0.767949192431122                 13
 -5.33012701892219 -0.767949192431122                 15
-6.33012701892219 0.964101615137755                -5
