
default_dir_path: ../../ply_data/check_1130/

corresp_img_file_name: 

corresp_ply_file_name: 
t0_0_5.0.dat
img.dat

img_file_path: 

ply_file_path: 
transform_rotate_simulation::
Point: corresp_plypoint
-3.66025403784439 -13.6602540378444                -5
-3.66025403784439 -13.6602540378444                -3
-3.66025403784439 -13.6602540378444                -1
-3.66025403784439 -13.6602540378444                 1
-3.66025403784439 -13.6602540378444                 3
-3.66025403784439 -13.6602540378444                 5
-3.66025403784439 -13.6602540378444                 7
-3.66025403784439 -13.6602540378444                 9
-3.66025403784439 -13.6602540378444                11
-3.66025403784439 -13.6602540378444                13
-3.66025403784439 -13.6602540378444                15
-4.66025403784439 -11.9282032302755                -5
-4.66025403784439 -11.9282032302755                -3
-4.66025403784439 -11.9282032302755                -1
-4.66025403784439 -11.9282032302755                 1
-4.66025403784439 -11.9282032302755                 3
-4.66025403784439 -11.9282032302755                 5
-4.66025403784439 -11.9282032302755                 7
-4.66025403784439 -11.9282032302755                 9
-4.66025403784439 -11.9282032302755                11
-4.66025403784439 -11.9282032302755                13
-4.66025403784439 -11.9282032302755                15
-5.66025403784439 -10.1961524227066                -5
-5.66025403784439 -10.1961524227066                -3
-5.66025403784439 -10.1961524227066                -1
-5.66025403784439 -10.1961524227066                 1
-5.66025403784439 -10.1961524227066                 3
-5.66025403784439 -10.1961524227066                 5
-5.66025403784439 -10.1961524227066                 7
-5.66025403784439 -10.1961524227066                 9
-5.66025403784439 -10.1961524227066                11
-5.66025403784439 -10.1961524227066                13
-5.66025403784439 -10.1961524227066                15
-6.66025403784439 -8.46410161513775                -5
-6.66025403784439 -8.46410161513775                -3
-6.66025403784439 -8.46410161513775                -1
-6.66025403784439 -8.46410161513775                 1
-6.66025403784439 -8.46410161513775                 3
-6.66025403784439 -8.46410161513775                 5
-6.66025403784439 -8.46410161513775                 7
-6.66025403784439 -8.46410161513775                 9
-6.66025403784439 -8.46410161513775                11
-6.66025403784439 -8.46410161513775                13
-6.66025403784439 -8.46410161513775                15
-7.66025403784439 -6.73205080756888                -5
-7.66025403784439 -6.73205080756888                -3
-7.66025403784439 -6.73205080756888                -1
-7.66025403784439 -6.73205080756888                 1
-7.66025403784439 -6.73205080756888                 3
-7.66025403784439 -6.73205080756888                 5
-7.66025403784439 -6.73205080756888                 7
-7.66025403784439 -6.73205080756888                 9
-7.66025403784439 -6.73205080756888                11
-7.66025403784439 -6.73205080756888                13
-7.66025403784439 -6.73205080756888                15
-8.66025403784439                -5                -5
-8.66025403784439                -5                -3
-8.66025403784439                -5                -1
-8.66025403784439                -5                 1
-8.66025403784439                -5                 3
-8.66025403784439                -5                 5
-8.66025403784439                -5                 7
-8.66025403784439                -5                 9
-8.66025403784439                -5                11
-8.66025403784439                -5                13
-8.66025403784439                -5                15
-9.66025403784439 -3.26794919243112                -5
-9.66025403784439 -3.26794919243112                -3
